AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,AUTO_THEFT_COORDINATED_TRACED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
Jharkhand,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,235.0,1118
Karnataka,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,82.0,1046.0,4808
Kerala,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,17.0,328.0,1200
Lakshadweep,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1.0,2
Madhya Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,147.0,1843.0,6771
Maharashtra,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,833.0,3008.0,10104
Manipur,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,6.0,103
Meghalaya,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,56
Mizoram,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,30.0,37
Nagaland,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,34.0,50
Odisha,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,174.0,508.0,1410
Puducherry,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,111.0,304
Punjab,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,301.0,352.0,844
Rajasthan,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,331.0,1055.0,5716
Sikkim,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1.0,1
Tamil Nadu,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2183.0,2423.0,2784
Tripura,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,15
Uttar Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,28.0,1605.0,6571
Uttarakhand,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,92.0,374
West Bengal,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22.0,304.0,2303
Andaman & Nicobar Islands,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,7.0,8
Andhra Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81.0,2499.0,5616
Arunachal Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,59.0,104
Assam,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21.0,241.0,545
Bihar,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,260.0,1871
Chandigarh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,119.0,474
Chhattisgarh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,618.0,1684
Dadra & Nagar Haveli,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,16
Daman & Diu,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,22
Delhi,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32.0,774.0,4641
Goa,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,53.0,180
Gujarat,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,500.0,1655.0,7252
Haryana,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94.0,1498.0,4746
Himachal Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,38.0,114
Jammu & Kashmir,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,65.0,221
Jharkhand,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,172.0,1250
Karnataka,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105.0,1573.0,4877
Kerala,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13.0,413.0,1298
Lakshadweep,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2.0,2
Madhya Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,395.0,1910.0,7864
Maharashtra,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,888.0,2961.0,11189
Manipur,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,6.0,115
Meghalaya,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2.0,45
Mizoram,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,29.0,51
Nagaland,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,21.0,117
Odisha,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34.0,381.0,1525
Puducherry,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,172.0,478
Punjab,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,415.0,385.0,1110
Rajasthan,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,100.0,1170.0,6574
Sikkim,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,3.0,3
Tamil Nadu,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1830.0,2222.0,2545
Tripura,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,13.0,51
